TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionAmount_bin,AccountBalance_bin,Target
59.32,Debit,Los Angeles,Branch,71.0,Retired,37.99999999999999,1.0,5750.89,Very Low,MediumHigh,2
85.77,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,Very Low,High,2
52.2,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,Very Low,High,0
345.84,Debit,Fort Worth,Online,22.0,Student,142.0,1.0,1402.5,Medium,Low,2
145.54,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,Low,MediumLow,3
7.49,Debit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,Very Low,MediumLow,2
246.93,Debit,Miami,ATM,23.0,Student,158.0,1.0,673.3499999999999,Low,Low,1
40.32,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,Very Low,MediumLow,1
127.45,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,Low,MediumLow,2
56.17,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,Very Low,Low,2
28.31,Debit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,Very Low,High,1
59.12,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,Very Low,High,0
396.45,Debit,New York,ATM,49.0,Engineer,168.00000000000003,1.0,9690.15,Medium,High,1
877.81,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,High,Low,2
255.26,Debit,San Francisco,Branch,45.0,Doctor,50.00000000000001,1.0,14815.87,Low,High,3
124.76,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,Low,MediumHigh,3
78.13,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.61,Very Low,Low,1
649.28,Debit,San Jose,ATM,75.0,Retired,137.0,1.0,4875.86,High,MediumHigh,3
795.31,Debit,Mesa,ATM,66.0,Doctor,90.0,1.0,7914.879999999999,High,High,1
335.63,Debit,Oklahoma City,Online,55.0,Retired,215.99999999999997,1.0,1019.39,Medium,Low,1
328.47,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,Medium,MediumLow,3
34.02,Debit,Philadelphia,Online,38.0,Doctor,18.999999999999996,1.0,14214.48,Very Low,High,1
241.42000000000002,Debit,Charlotte,Online,57.0,Doctor,116.00000000000001,1.0,13357.02,Low,High,0
55.32,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.79000000000002,Very Low,Low,3
304.31,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.61,Medium,Low,2
435.27,Debit,Chicago,Branch,74.0,Retired,90.0,1.0,4673.28,Medium,MediumLow,0
164.49,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,Low,Low,0
510.23999999999995,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.7,High,Low,1
626.9,Debit,Denver,Online,26.0,Student,138.0,1.0,265.51,High,Low,0
22.01,Debit,Sacramento,Online,41.0,Engineer,175.0,1.0,1335.09,Very Low,Low,3
425.34,Debit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.5399999999995,Medium,MediumLow,2
424.56,Debit,Omaha,Online,51.0,Engineer,264.0,1.0,5183.85,Medium,MediumHigh,1
85.43,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,Very Low,High,3
169.5,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.8799999999999,Low,Low,3
104.63,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,Low,MediumLow,1
316.95,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.03,Medium,Low,1
60.540000000000006,Debit,Columbus,Branch,57.0,Retired,52.00000000000001,1.0,3534.93,Very Low,MediumLow,0
292.56,Debit,Dallas,Branch,68.0,Retired,61.00000000000001,1.0,4638.37,Medium,MediumLow,0
386.52,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,Medium,MediumHigh,2
112.07,Debit,Kansas City,Branch,23.0,Student,51.00000000000001,1.0,930.3,Low,Low,2
568.52,Debit,Indianapolis,ATM,46.0,Engineer,151.99999999999997,1.0,5499.91,High,MediumHigh,2
263.99,Debit,Dallas,Branch,79.0,Retired,227.0,1.0,4175.02,Low,MediumLow,0
349.64,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,Medium,MediumHigh,2
601.4,Debit,Philadelphia,Branch,56.0,Engineer,104.0,1.0,8458.29,High,High,1
5.77,Debit,Charlotte,Online,50.0,Doctor,123.99999999999999,1.0,13988.12,Very Low,High,0
201.33,Debit,Nashville,Branch,42.0,Engineer,186.0,1.0,2585.07,Low,MediumLow,1
298.42,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,Medium,MediumLow,2
521.06,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,High,MediumLow,0
117.28,Debit,Austin,Online,60.0,Engineer,16.0,1.0,3665.77,Low,MediumLow,0
189.12,Debit,Indianapolis,,32.0,Engineer,103.0,1.0,977.01,Low,Low,2
133.55,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.2800000000007,Low,MediumLow,0
143.21,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,Low,MediumHigh,0
24.77,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,Very Low,MediumHigh,0
233.92,Debit,Jacksonville,Online,26.0,Student,280.0,1.0,6537.62,Low,MediumHigh,2
899.2850000000002,Debit,Indianapolis,Branch,20.0,Student,24.0,1.0,605.9499999999999,High,Low,2
232.12,Debit,,ATM,37.0,Engineer,51.00000000000001,1.0,6689.87,Low,MediumHigh,3
211.36,Debit,Kansas City,Online,22.0,Student,113.0,1.0,634.17,Low,Low,2
91.53,Debit,Milwaukee,Branch,44.0,Doctor,69.00000000000001,1.0,14676.05,Very Low,High,1
120.29,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.39,Low,Low,1
174.25,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,Low,High,3
183.71,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.52,Low,Low,0
345.39,Debit,Phoenix,,58.0,Engineer,80.0,1.0,6451.96,Medium,MediumHigh,1
899.2850000000002,Debit,Detroit,ATM,63.0,Retired,87.0,1.0,4715.84,High,MediumLow,2
259.91,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,Low,MediumHigh,0
154.71,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.72,Low,MediumLow,3
899.2850000000002,Debit,Austin,Online,54.0,Engineer,30.0,1.0,8654.28,High,High,0
24.56,Debit,Mesa,Branch,64.0,Doctor,69.00000000000001,1.0,9869.93,Very Low,High,1
568.07,Debit,Washington,ATM,48.0,Doctor,115.0,1.0,10556.81,High,High,3
9.61,Debit,San Diego,Online,58.0,Doctor,179.0,1.0,12883.91,Very Low,High,3
392.96,Debit,Kansas City,Online,24.0,Student,100.00000000000001,1.0,791.65,Medium,Low,2
716.93,Debit,Milwaukee,Online,60.0,Retired,34.0,1.0,4064.02,High,MediumLow,1
223.85,Debit,Kansas City,ATM,53.0,Engineer,55.0,1.0,2929.91,Low,MediumLow,2
230.66,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.05,Low,Low,2
442.12,Debit,Los Angeles,Online,19.0,Student,260.0,1.0,1375.8,Medium,Low,2
644.17,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.52,High,Low,3
508.67999999999995,Debit,Mesa,Branch,51.0,Engineer,127.0,1.0,7708.41,High,High,1
858.63,Debit,San Francisco,Branch,27.0,Student,185.0,1.0,1872.96,High,MediumLow,3
25.36,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.04,Very Low,Low,2
147.62,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,Low,MediumLow,0
115.02,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,Low,High,3
383.37,Debit,Fort Worth,Branch,30.0,Engineer,24.0,1.0,8901.93,Medium,High,2
98.54,Debit,El Paso,Online,20.0,Student,167.0,1.0,9383.43,Low,High,2
83.24,Debit,Fort Worth,Branch,55.0,Doctor,164.0,1.0,1181.31,Very Low,Low,2
196.16,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,Low,High,3
129.94,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.919999999999,Low,High,2
306.9,Debit,Colorado Springs,Online,46.0,Engineer,51.00000000000001,1.0,9418.08,Medium,High,0
114.98,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,Low,MediumHigh,3
756.59,Debit,Sacramento,Branch,27.0,Student,17.0,1.0,420.65,High,Low,3
503.76000000000005,Debit,Los Angeles,Online,22.0,Student,35.0,1.0,447.82,High,Low,2
143.03,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.450000000001,Low,High,3
899.2850000000002,Debit,Columbus,ATM,53.0,Retired,73.0,1.0,1829.9,High,MediumLow,0
245.54,Debit,New York,ATM,25.0,Student,180.0,1.0,985.0600000000001,Low,Low,1
254.37000000000003,Debit,Dallas,Online,51.0,Engineer,174.0,1.0,8849.26,Low,High,0
213.76,Debit,Dallas,ATM,78.0,Retired,282.0,1.0,3528.72,Low,MediumLow,0
327.86,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.16,Medium,Low,2
2.5,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,Very Low,High,3
300.08,Debit,Austin,Online,68.0,Doctor,47.0,1.0,13546.75,Medium,High,0
56.98,Debit,Oklahoma City,ATM,43.0,Engineer,122.0,1.0,5688.37,Very Low,MediumHigh,1
407.65,Debit,Boston,Online,26.0,Engineer,61.99999999999999,1.0,8346.64,Medium,High,0
115.83,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,Low,MediumHigh,2
53.57,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,Very Low,MediumLow,2
63.34,Debit,Detroit,Online,46.0,Doctor,165.0,1.0,11174.94,Very Low,High,2
317.87,Debit,Detroit,Online,27.0,Student,91.0,1.0,145.5,Medium,Low,2
331.65,Debit,Portland,Online,41.0,Engineer,61.00000000000001,1.0,4172.57,Medium,MediumLow,1
5.04,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,Very Low,MediumHigh,3
214.54,Debit,Detroit,Online,70.0,Doctor,247.0,1.0,11151.53,Low,High,2
598.81,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,High,Low,1
841.28,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.64,High,Low,3
38.15,Debit,Mesa,Online,26.0,Student,107.99999999999999,1.0,303.68,Very Low,Low,1
899.2850000000002,Debit,San Antonio,Branch,58.0,Doctor,144.0,1.0,5541.57,High,MediumHigh,3
124.72,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,Low,MediumHigh,1
302.45,Debit,San Antonio,Branch,78.0,Retired,40.0,1.0,5133.61,Medium,MediumHigh,3
208.04,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,Low,High,2
5.77,Debit,Los Angeles,Branch,23.0,Student,254.0,1.0,1117.97,Very Low,Low,2
381.33,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,Medium,High,0
16.16,Debit,Milwaukee,ATM,50.0,Doctor,123.99999999999999,1.0,14401.17,Very Low,High,1
486.0799999999999,Debit,Oklahoma City,Online,18.0,Student,68.00000000000001,1.0,1748.69,High,MediumLow,1
336.39,Debit,San Antonio,Branch,21.0,Student,18.0,1.0,1000.46,Medium,Low,3
899.2850000000002,Debit,Seattle,Online,69.0,Doctor,118.0,1.0,6810.05,High,MediumHigh,3
234.57,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.98,Low,Low,0
6.0,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,Very Low,MediumHigh,0
899.2850000000002,Debit,Detroit,ATM,80.0,Retired,21.000000000000004,1.0,2037.85,High,MediumLow,2
227.14,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.94,Low,Low,0
233.74,Debit,Oklahoma City,Online,66.0,Retired,17.0,1.0,1066.59,Low,Low,1
211.36,Debit,Jacksonville,Branch,69.0,Retired,166.0,1.0,6077.96,Low,MediumHigh,2
45.85,Debit,Los Angeles,ATM,20.0,Student,91.99999999999999,1.0,1659.15,Very Low,MediumLow,2
899.2850000000002,Debit,Sacramento,Branch,77.0,Retired,296.0,1.0,2042.22,High,MediumLow,3
211.36,Debit,New York,Online,41.0,Doctor,142.0,1.0,421.93,Low,Low,1
415.5,Debit,Memphis,ATM,66.0,Doctor,141.0,1.0,10113.66,Medium,High,1
265.76,Debit,Philadelphia,Online,54.0,Retired,91.99999999999999,1.0,4446.17,Low,MediumLow,1
69.4,Debit,Virginia Beach,Online,80.0,Retired,113.0,1.0,6452.77,Very Low,MediumHigh,3
332.93,Debit,Albuquerque,Branch,35.0,Engineer,293.0,1.0,2788.2,Medium,MediumLow,0
267.9,Debit,San Antonio,Online,20.0,Student,160.0,1.0,596.1599999999999,Low,Low,3
496.0299999999999,Debit,San Francisco,Branch,61.0,Doctor,265.0,1.0,12904.66,High,High,3
376.26,Debit,Tucson,ATM,37.0,Engineer,245.0,1.0,9062.4,Medium,High,3
83.02,Debit,Seattle,Online,36.0,Engineer,171.0,1.0,9009.56,Very Low,High,3
93.26,Debit,New York,Online,20.0,Student,72.0,1.0,1152.2,Very Low,Low,1
803.37,Debit,Memphis,Branch,68.0,Doctor,129.0,1.0,12168.37,High,High,1
35.76,Debit,Charlotte,Branch,23.0,Student,122.0,1.0,611.8599999999999,Very Low,Low,0
28.53,Debit,Washington,Online,62.0,Doctor,99.0,1.0,8670.53,Very Low,High,3
139.53,Debit,Louisville,Online,53.0,Doctor,177.0,1.0,10098.86,Low,High,2
307.57,Debit,Detroit,Branch,33.0,Doctor,285.0,1.0,5307.74,Medium,MediumHigh,2
60.650000000000006,Debit,Tucson,Branch,56.0,Retired,53.00000000000001,1.0,1047.28,Very Low,Low,3
74.86,Debit,Nashville,Branch,70.0,Doctor,125.0,1.0,6921.48,Very Low,MediumHigh,1
211.36,Debit,Kansas City,Branch,51.0,Retired,137.0,1.0,1475.46,Low,Low,2
231.91,Debit,Memphis,ATM,34.0,Engineer,165.0,1.0,112.76,Low,Low,1
126.20999999999998,Debit,Baltimore,Branch,75.0,Retired,268.0,1.0,5669.66,Low,MediumHigh,0
506.28,Debit,Chicago,Online,53.0,Retired,162.0,1.0,1309.95,High,Low,0
304.35,Debit,Houston,Branch,31.0,Engineer,36.0,1.0,4057.1,Medium,MediumLow,2
281.85,Debit,Detroit,ATM,22.0,Student,109.0,1.0,1585.98,Low,MediumLow,2
777.88,Debit,Houston,Branch,31.0,Engineer,17.0,1.0,6825.55,High,MediumHigh,2
119.18,Debit,Los Angeles,Branch,56.0,Retired,96.0,1.0,5516.5,Low,MediumHigh,2
177.19,Debit,Chicago,Online,76.0,Retired,43.0,1.0,5343.3,Low,MediumHigh,0
260.88,Debit,Denver,Branch,22.0,Student,36.0,1.0,903.05,Low,Low,0
169.47,Debit,Chicago,Online,24.0,Student,18.999999999999996,1.0,1806.16,Low,MediumLow,0
73.23,Debit,Portland,Branch,26.0,Student,14.0,1.0,787.7399999999999,Very Low,Low,1
899.2850000000002,Debit,El Paso,ATM,29.0,Engineer,106.0,1.0,2429.68,High,MediumLow,2
792.57,Debit,Baltimore,ATM,19.0,Student,164.0,1.0,770.37,High,Low,0
237.06,Debit,Phoenix,Online,71.0,Retired,45.99999999999999,1.0,1182.77,Low,Low,1
34.17,Debit,Philadelphia,Online,54.0,Engineer,53.99999999999999,1.0,726.55,Very Low,Low,1
740.25,Debit,Philadelphia,Online,41.0,Doctor,123.0,1.0,14464.3,High,High,1
453.54,Debit,Albuquerque,ATM,58.0,Doctor,82.0,1.0,12046.3,Medium,High,0
300.47,Debit,Jacksonville,Branch,73.0,Retired,100.00000000000001,1.0,7885.64,Medium,High,2
110.93,Debit,Virginia Beach,Branch,19.0,Student,201.0,1.0,1952.3499999999997,Low,MediumLow,3
201.69,Debit,Las Vegas,ATM,59.0,Doctor,299.0,1.0,7328.52,Low,MediumHigh,2
399.21,Debit,Portland,ATM,59.0,Engineer,109.0,1.0,3210.39,Medium,MediumLow,1
899.2850000000002,Debit,Jacksonville,Online,78.0,Retired,57.0,1.0,5726.2,High,MediumHigh,2
630.36,Debit,Mesa,ATM,62.0,Retired,52.00000000000001,1.0,1363.65,High,Low,1
10.94,Debit,Philadelphia,ATM,60.0,Engineer,245.0,1.0,1241.99,Very Low,Low,1
215.9,Debit,Los Angeles,ATM,38.0,Doctor,235.0,1.0,7873.280000000001,Low,High,2
899.2850000000002,Debit,Washington,Branch,79.0,Retired,165.0,1.0,5674.32,High,MediumHigh,3
226.37,Debit,Louisville,Branch,49.0,Doctor,141.0,1.0,9840.04,Low,High,2
444.89,Debit,Las Vegas,Branch,43.0,Doctor,101.0,1.0,10328.23,Medium,High,2
280.57,Debit,Virginia Beach,Online,25.0,Student,24.0,1.0,293.24,Low,Low,3
488.54,Debit,Jacksonville,Branch,52.0,Engineer,132.0,1.0,7486.63,High,MediumHigh,2
3.3,Debit,Los Angeles,Branch,50.0,Doctor,131.0,1.0,11385.37,Very Low,High,2
199.39,Debit,Colorado Springs,Branch,69.0,Retired,165.0,1.0,7264.79,Low,MediumHigh,0
20.36,Debit,Tucson,Branch,62.0,Retired,75.0,1.0,2762.48,Very Low,MediumLow,3
113.64,Debit,Detroit,Online,44.67844382691544,Retired,32.0,1.0,6675.03,Low,MediumHigh,2
493.11,Debit,Colorado Springs,Branch,53.0,Retired,236.0,1.0,7432.99,High,MediumHigh,0
307.41,Debit,Los Angeles,ATM,19.0,Student,14.0,1.0,1057.0,Medium,Low,2
11.18,Debit,Atlanta,Online,43.0,Doctor,161.0,1.0,5956.89,Very Low,MediumHigh,0
313.82,Debit,Tucson,Branch,59.0,Engineer,151.0,1.0,7261.59,Medium,MediumHigh,3
51.0,Debit,Seattle,Branch,64.0,Retired,107.0,1.0,4943.16,Very Low,MediumHigh,3
140.98,Debit,Memphis,Branch,60.0,Engineer,100.00000000000001,1.0,8127.4800000000005,Low,High,1
288.04,Debit,Denver,ATM,68.0,Retired,63.0,1.0,1748.02,Low,MediumLow,0
800.55,Debit,Oklahoma City,ATM,31.0,Engineer,107.99999999999999,1.0,9660.22,High,High,1
485.54,Debit,Houston,ATM,46.0,Engineer,143.0,1.0,6371.51,High,MediumHigh,2
521.15,Debit,Kansas City,ATM,54.0,Doctor,214.0,1.0,9442.47,High,High,2
321.79,Debit,Raleigh,ATM,63.0,Retired,112.0,1.0,5959.2,Medium,MediumHigh,3
304.93,Debit,Portland,ATM,65.0,Doctor,158.0,1.0,13531.22,Medium,High,1
432.08,Debit,El Paso,ATM,40.0,Doctor,145.0,1.0,11500.62,Medium,High,2
694.2,Debit,Milwaukee,ATM,61.0,Retired,72.0,1.0,1389.37,High,Low,1
116.86,Debit,Louisville,ATM,55.0,Engineer,171.0,1.0,6706.56,Low,MediumHigh,2
211.36,Debit,Detroit,,57.0,Doctor,149.0,1.0,7175.29,Low,MediumHigh,2
74.88,Debit,Atlanta,ATM,25.0,Student,202.0,1.0,420.67,Very Low,Low,0
211.36,Debit,Philadelphia,Branch,75.0,Retired,99.0,1.0,7323.53,Low,MediumHigh,1
134.7,Debit,Fort Worth,ATM,50.0,Doctor,106.0,1.0,8395.85,Low,High,2
890.24,Debit,Las Vegas,Online,33.0,Engineer,161.0,1.0,5140.93,High,MediumHigh,2
361.27,Debit,Omaha,ATM,63.0,Doctor,180.0,1.0,7945.57,Medium,High,1
131.56,Debit,Charlotte,Branch,44.0,Doctor,42.00000000000001,1.0,5873.54,Low,MediumHigh,0
485.51,Debit,Milwaukee,Online,76.0,Retired,37.0,1.0,3074.45,High,MediumLow,1
547.87,Debit,Columbus,ATM,64.0,Retired,131.0,1.0,6155.76,High,MediumHigh,0
457.3,Debit,Virginia Beach,Online,28.0,Engineer,15.0,1.0,8318.29,Medium,High,3
506.24,Debit,Chicago,ATM,58.0,Engineer,64.0,1.0,230.09,High,Low,0
486.59,Debit,Indianapolis,Branch,57.0,Retired,119.0,1.0,2513.56,High,MediumLow,2
163.68,Debit,San Diego,Branch,41.0,Doctor,292.0,1.0,10090.05,Low,High,3
581.65,Debit,Boston,ATM,22.0,Student,176.0,1.0,480.19000000000005,High,Low,0
52.01,Debit,Mesa,ATM,48.0,Doctor,85.0,1.0,1120.88,Very Low,Low,1
630.24,Debit,Boston,ATM,21.0,Student,61.99999999999999,1.0,370.81,High,Low,0
523.74,Debit,Oklahoma City,ATM,43.0,Doctor,159.0,1.0,13498.55,High,High,1
705.6,Debit,Phoenix,Branch,40.0,Doctor,123.99999999999999,1.0,14804.7,High,High,1
217.5,Debit,Denver,Branch,46.0,Engineer,35.0,1.0,3057.4,Low,MediumLow,0
91.48,Debit,Fort Worth,ATM,51.0,Doctor,141.0,1.0,14942.779999999999,Very Low,High,2
5.25,Debit,San Jose,ATM,39.0,Doctor,49.0,1.0,14143.32,Very Low,High,3
54.03,Debit,Milwaukee,ATM,56.0,Retired,161.0,1.0,6736.3,Very Low,MediumHigh,1
736.73,Debit,Memphis,Branch,48.0,Engineer,10.0,1.0,3313.07,High,MediumLow,1
368.91,Debit,Virginia Beach,Branch,54.0,Doctor,14.0,1.0,829.7099999999999,Medium,Low,3
33.06,Debit,Fort Worth,Online,53.0,Retired,170.0,1.0,1540.87,Very Low,MediumLow,2
66.5,Debit,Louisville,Online,32.0,Engineer,144.0,1.0,6820.23,Very Low,MediumHigh,2
177.08,Debit,Las Vegas,,35.0,Doctor,85.0,1.0,13475.14,Low,High,2
588.54,Debit,Portland,Branch,32.0,Engineer,130.0,1.0,714.4499999999999,High,Low,1
173.5,Debit,Nashville,ATM,21.0,Student,282.0,1.0,1306.91,Low,Low,1
78.33,Debit,Memphis,Online,56.0,Engineer,189.0,1.0,7255.33,Very Low,MediumHigh,1
40.66,Debit,Louisville,Branch,59.0,Retired,156.0,1.0,1153.84,Very Low,Low,2
97.22,Debit,Atlanta,Branch,77.0,Retired,55.0,1.0,6647.73,Low,MediumHigh,0
34.07,Debit,Philadelphia,Branch,22.0,Student,81.0,1.0,8709.77,Very Low,High,1
492.06000000000006,Debit,Fresno,Online,23.0,Student,74.0,1.0,857.9,High,Low,2
842.01,Debit,Virginia Beach,Online,53.0,Doctor,185.0,1.0,509.45000000000005,High,Low,3
73.55,Debit,Atlanta,ATM,51.0,Engineer,158.0,1.0,2812.06,Very Low,MediumLow,0
760.53,Debit,Phoenix,Online,57.0,Engineer,118.0,1.0,6179.91,High,MediumHigh,1
273.08,Debit,Houston,Branch,44.67844382691544,Engineer,134.0,1.0,6609.3,Low,MediumHigh,2
371.69,Debit,San Francisco,Branch,67.0,Retired,143.0,1.0,3484.32,Medium,MediumLow,3
218.96,Debit,Seattle,ATM,18.0,Student,13.0,1.0,754.21,Low,Low,3
227.39,Debit,Atlanta,Online,18.0,Student,65.0,1.0,751.09,Low,Low,0
237.99,Debit,Kansas City,Branch,39.0,Doctor,86.0,1.0,8510.09,Low,High,2
186.6,Debit,,Online,58.0,Doctor,13.0,1.0,1508.72,Low,Low,3
341.15,Debit,San Jose,Online,18.0,Student,148.0,1.0,511.36999999999995,Medium,Low,3
434.58,Debit,Memphis,ATM,59.0,Doctor,215.0,1.0,12648.32,Medium,High,1
312.88,Debit,Portland,Branch,54.0,Engineer,44.0,1.0,233.21,Medium,Low,1
75.15,Debit,Boston,ATM,23.0,Student,154.0,1.0,1092.92,Very Low,Low,0
23.3,Debit,Los Angeles,ATM,59.0,Engineer,161.0,1.0,6711.15,Very Low,MediumHigh,2
47.38,Debit,Seattle,Online,25.0,Student,61.00000000000001,1.0,459.37,Very Low,Low,3
512.81,Debit,Sacramento,Branch,79.0,Retired,30.0,1.0,6994.34,High,MediumHigh,3
488.15000000000003,Debit,Louisville,Branch,43.0,Engineer,168.00000000000003,1.0,7071.09,High,MediumHigh,2
12.82,Debit,Fort Worth,ATM,44.0,Engineer,156.0,1.0,9045.19,Very Low,High,2
66.9,Debit,Charlotte,Online,79.0,Retired,129.0,1.0,5238.71,Very Low,MediumHigh,0
535.91,Debit,Las Vegas,Online,43.0,Engineer,22.0,1.0,9642.12,High,High,2
270.72,Debit,Washington,Online,26.0,Engineer,53.00000000000001,1.0,6263.96,Low,MediumHigh,3
97.98,Debit,Denver,Branch,72.0,Retired,18.0,1.0,7460.329999999999,Low,MediumHigh,0
196.08,Debit,San Francisco,Online,61.0,Retired,98.0,1.0,4233.82,Low,MediumLow,3
251.18000000000004,Debit,San Jose,ATM,42.0,Engineer,246.0,1.0,8303.9,Low,High,3
44.52,Debit,El Paso,Online,28.0,Student,205.0,1.0,314.28,Very Low,Low,2
178.87,Debit,Baltimore,Online,35.0,Doctor,180.0,1.0,5241.23,Low,MediumHigh,0
899.2850000000002,Debit,Kansas City,ATM,54.0,Engineer,174.0,1.0,323.69,High,Low,2
386.68,Debit,New York,Branch,46.0,Doctor,128.0,1.0,6863.06,Medium,MediumHigh,1
167.14,Debit,Denver,Online,76.0,Retired,20.0,1.0,3877.7299999999996,Low,MediumLow,0
345.22,Debit,Fresno,Branch,69.0,Retired,253.0,1.0,4046.5800000000004,Medium,MediumLow,2
74.85,Debit,Raleigh,ATM,72.0,Retired,117.0,1.0,2409.73,Very Low,MediumLow,3
